5,It has be my TD branch for the past 15 years. They are pleasant and welcoming and they have been able to help me with some tricky situations.
1,So rude castumer service
4,Staff were very welcoming and friendly. I had a great experience.
1,"Here are 3 reasons TD is the worst bank for small businesses, based on my experience! 1- when I contacted TD to open a 3rd business account, I found out that they do not have my business information filed correctly, and items submitted are now missing from my file. These include vital business docs like my articles of incorporation. 2- I would expected that after escalating my issue to head office, and also provided missing documents, I've no more problems & get the account opened. But no, it took more than 2 weeks and my issue remains unresolved, and I haven't received an update in 5 days.Which makes me wonder, do they even care? 3- Throughout more than 7 interaction with TD employees I have found that they have not taken any responsibility for the error in losing my corporate documents, no one has even acknowledged the error. Yes, we all make mistakes, but I will not continue to work with a business that can't take ownership of their mistakes"
1,"Appointment was 1pm, my partner and I arrived on time, met an advisor called Sadaqat Ahmadi and he pointed us to a room said will be there soon. We waited for 10 mints, unbelievably he was just chilling and drinking coffee with his colleagues until I want and talk to him. They all were acting unprofessional. The worst TD brach. Never want to come back here!"
1,The worst TD branch I ever been.
1,There is racism that goes on here at the bank. one star is actually zero
4,This is my local branch located in Little Italy. Staff here are nice and friendly.
5,Fine people. Don't appreciate seeing them slurred. The staff there reflects the colors of the rainbow. Like a rainbow they are always good to see.
5,No lines and open Saturday.
5,Short lines & candies! :)
5,"I've been coming to this branch for years. They know me by name, by now. Good branch."
1,"Don't trust to this branch... they are not honest in keeping your personal information secret. The Manager is racist and wasted my six months time for mortgage, and finally denied; were as the other bank ahs given me in One Week"
5,"Got a very welcoming staff;very accommodating that i and my friend felt at home after we walked from the rain. Ashkon Alipour,the personal banking associate was so nice,friendly and he adhered to all our queries...was satisfied with their service and would recommend them"
1,Very unaccommodating and the bank teller (lady with the Indian accent) was hesitant to help us. Her tone was weird and she clearly needs to quit her job because she is bored. Worst service ever!
1,Manger out right lied to went to another branch had no issues. Not sure how regulation change branch to branch
5,so friendly that you `ll forget its a bank
4,Good staff for a standard TD Bank.
5,"we came in during a rain storm, staff give us paper towels and tissues to help us dry up"
5,"Everyone in this branch must be on happy pills! Every staff member is super friendly, courteous and genuinely interested in me. Best banking experience I've had in my 40 years in Toronto."
3,Standard TD Bank.
1,"I never had to deal with such idiocy in my entire life, avoid like the plague"
5,Very good bank..nice people
1,"2 or 3 people there are gems. As for the rest, I've never been given such a hard time in a bank. And on more than one occasion. the keep changing the card rules, on a weekly basis. what really seems to be happening is that the tellers make up the rules and the managers stand by them. So they're not banking rules, they're teller rules."
1,"terrible experience, miserable customer service"
1,"The teller made judgement calls and remarks surrounding my tattoos and appearance. Spoke down to me, put my check on hold with little explanation why. Would not let me talk to a manager and refuse to attempt to even verify my check."
