0,1
branch,"(0.0049, 24)"
empty,"(0.0034, 6)"
rolls,"(0.0034, 6)"
i’ve,"(0.0034, 6)"
regular,"(0.0028, 5)"
seemed,"(0.0028, 5)"
wire,"(0.0022, 4)"
lady,"(0.0022, 4)"
client,"(0.0022, 4)"
experienced,"(0.0022, 4)"
asked,"(0.0019, 9)"
buy,"(0.0017, 3)"
near,"(0.0017, 3)"
seen,"(0.0017, 3)"
gave,"(0.0017, 3)"
"india,","(0.0017, 3)"
anything,"(0.0017, 3)"
canadian,"(0.0017, 3)"
kassandra,"(0.0017, 3)"
"said,","(0.0017, 3)"
free,"(0.0017, 3)"
glass,"(0.0017, 3)"
face,"(0.0017, 3)"
area.,"(0.0017, 3)"
ever,"(0.0014, 7)"
day,"(0.0012, 6)"
call,"(0.0012, 6)"
teller,"(0.0012, 6)"
resolve,"(0.0011, 2)"
"experience,","(0.0011, 2)"
green,"(0.0011, 2)"
fax,"(0.0011, 2)"
manager.,"(0.0011, 2)"
along,"(0.0011, 2)"
investment,"(0.0011, 2)"
future,"(0.0011, 2)"
staff.,"(0.0011, 2)"
coffee,"(0.0011, 2)"
newly,"(0.0011, 2)"
mailing,"(0.0011, 2)"
