Label,Message
5,
1,"Not only were they under staffed on a Thursday afternoon, one teller was casually speaking with a customer about non banking matters for the entirety of my 15 minute wait then the teller that I did see was very rude and condescending. He claimed that I needed to verify my identity, even though i entered my pin correctly, first I’m hearing of this even though I’ve been a customer for years. I did end up providing my ID with protest, then he claimed he still wasn’t satisfied for some reason and had to talk to the manager who hilarious brushed him off and he returned with my withdrawal. Like if I was doing something nefarious I would have pulled money from an ATM instead of going in. Tellers name was maddie or maddle"
1,Dealing with these people was worse than pulling teeth. Nobody could do anything for themselves and I thus ended up having to wait for them to call a head office just to be told that I needed to speak to a manager. Utter waste of time and resources.
1,"i have been with td a long time and have had nothing but problems, keep wanting to hold my cheques and rude staff, and very discriminatory. i noticed this at alot of toronto locations... i am closing my account finally"
3,"The employees at this branch are nice, but I've never been to a TD location that is so ridiculously slow. No matter what time of day I go, there are never enough tellers working and you always have to wait. Go to another branch if you're in a rush."
5,"As business clients, we have always received outstanding service from this branch. The tellers are not only kind, but also care about customer satisfaction. Particularly, the branch manager Emre is very client oriented, professional and willing to assist in any manner. It is true that some clients feel connected to their banks thanks to these special people and their dedication."
5,Thank you Nishteman for the wonderful banking experience in this TD branch!
1,"This bank is the most rudest place ive been in , i went to open a chequing account on Tuesday July 9 2019, as i walked in, was greeted my a gentleman that asked if he could help, i told him what i was there for & told me to take a seat & somebody would be there in 5 minutes. After about 20 minutes another gentleman came and saw my I.D on the table , notice that i had a picture ohip card & asked if i had any other photo id & i said no , i dont drive & i dont travel. He look at me as if i was from another planet and told me they dont accept ohip as id then told me to leave , just like that. No please or sorry but just leave. So if you are thinking of opening a account there DON'T"
5,The service team here is amazing. I've worked with just about everyone at this branch to date and I've never had any issues with them.
5,"Get friendly service and staff. It's not my home branch, but they treat me as if it was my home branch. Thanks for making me feel at home."
1,"This is my home branch, I am not at all satisfied. Recently I tried to deposit bank draft (also Issued by a TD bank) to my personal account and It took them couple hours to verify the draft. My point is its not a cheque, its a bank draft and also issued by TD bank, why it take hours to get funds available. I had to wait at branch to withdraw funds."
5,
1,The worst TD bank I have ever been to in my life and I have been to multitude of locations as a TD card holder for almost two decades. This bank is super slow consisting of incompetent tellers with awful managers. Do NOT go here unless you want to wait in line for a long time and want to waste more time waiting for unintelligent employees to do their basic jobs. This review is based on three visits and I will never go there ever again knowing that past incidents were not circumstantial.
1,Extremely slow service
5,Great service
5,Very secure
4,
