Label,Message
5,
5,Quick and professional service put my business right back on the track!
5,Great professional service. Thanks!
1,"Here are 3 reasons TD is the worst bank for small businesses, based on my experience! 1- when I contacted TD to open a 3rd business account, I found out that they do not have my business information filed correctly, and items submitted are now missing from my file. These include vital business docs like my articles of incorporation. 2- I would expected that after escalating my issue to head office, and also provided missing documents, I've no more problems & get the account opened. But no, it took more than 2 weeks and my issue remains unresolved, and I haven't received an update in 5 days.Which makes me wonder, do they even care? 3- Throughout more than 7 interaction with TD employees I have found that they have not taken any responsibility for the error in losing my corporate documents, no one has even acknowledged the error. Yes, we all make mistakes, but I will not continue to work with a business that can't take ownership of their mistakes"
4,"The only TD in the area, decent location. The tellers are friendly and the financial advisor is great in helping me plan for my future. There timings are a bit weird at times, doesn't match up to the google page. But a great bank overall"
4,
5,
5,"Great little branch, the tellers are really nice."
5,"Headquartered in Toronto, Canada, with more than 85,000 employees in offices around the world, The Toronto-Dominion Bank and its subsidiaries are collectively known as TD Bank Group (TD). TD offers a full range of financial products and services more than 25 million customers worldwide through three key business"
5,"Best TD branch in Toronto. Friendly, efficient and professional, I go 9 blocks out of my way to conduct my business at this branch. Super customer oriented."
1,
1,
5,Very happy to have this as my home branch. Great service even when it gets busy.
1,"This is the only TD branch that puts a hold on our company cheque deposits. We have over a million dollars cash flow a year, yet they won't immediately cash a $2,000 cheque from a client that's been routinely paying us for the last 4 years."
5,
1,Closed during regular hours with no update in Google. I run a business and don't have time to run to several different banks
4,
1,"One teller for the whole branch on a long weekend, took 20 mins to be served!!!!"
5,Great location. Never busy and nice employees
4,
5,
5,
4,
5,Wonderful people working here make every visit to this branch wonderful!
5,
5,
