Label,Message
1,"I left this bank feeling disrespected. The service is awful. The tellers are unknowledgeable and unprofessional. I spoke to the manager, and she turned her back on me. Looking at the reviews, it seems like it's the standard."
1,Horrible experience. Stuff didn’t know what he was doing and never returned calls. Different people provided contradictory information. Wasted a whole month there. Will never visit again.
2,"Always insanely long lines with many empty counters, never had a short wait here. Quite poor service for what’s supposed to be one of the main branches in the city. Most reps are very nice but I also had a very unfriendly, combative one just yesterday."
5,"Went here yesterday taking a shot in the dark to see if they could help me with an issue with my US TD Bank account, turns out TD Canada Trust and TD Bank in the US are only tangentially related (different banking laws and systems,and whatnot but same parent corporation), so they didn’t have any access to my account in the US. However, Sajid and Robert at the front desk bent over backwards to help me unlock my account by calling them and using the two banks relationship to clear up the issue on the account and give me back access to my money. This was easily the best customer service experience I’ve ever had in a bank. I almost never leave reviews of anything, but Robert in particular was so incredibly helpful, I felt that his efforts and kindness deserve recognition. Thank you so much!"
1,The slowest employees ever. Standing there for 20 mins and the line hasn't moved. They're just helping the same 4 customers over like they have all the time in the world
5,"Love TD Canada Trust bay Bloor Branch. They have gone out of their way to provide great service and that 'Z' factor. Thank you,"
1,I’ve been waiting at the customer service desk for 15 minutes and an advisor asked I think a teller to come help me. She had red hair - came over and was mumbling about how she didn’t want to do it. Very professional. Super appropriate. So mature.
1,Getting real tired of TD. Horrible customer service
1,Too much AC here both my friend and I caught a cold from waiting 25 min in line
1,
2,Bad customer service
1,"I had a horrible experience at this branch today. I met with Brandon Lee, a financial advisor, to switch my investment product. Due to the fees being lower on the product I was looking to switch to, Brandon tried to convince me to choose another option. After listening to him speak, I let him know why I was looking to make the change and justified my reasoning for being adamant on the product with lower fees. When he realized my mind was made, he became hostile. He said he could not help me and I would have to figure it out on my own. I was shocked! He refused to provide me with any resources, emails, or phone numbers to call which lead me to end the meeting. As I walked out, I stopped an employee and expressed my frustration at the rudeness and lack of assistance Brandon provided. The employee (whose name I did not get) quickly explained the steps I needed to take make the change and asked me who I had met with. When I said Brandon, the employee immediately rolled his eyes (seems I'm not the only one Brandon has upset). Whether he realizes it or not, Brandon is representing the entirety of TD when interacting with clients, and today he did not represent well. I am currently meeting with the other large Canadian banks to find one with better service."
1,Slow service. There are 4 out of 10 clerks working with a huge line up.
5,"I want to give a shout out to Sajid Ahmed (Assistant Branch Manager) and Grazia (Financial advisor). I had to switch my mortgage to an open term mortgage under a very tight deadline, and Sajid made sure that it was done within the deadline. He literally submitted by application and at midnight on same day and sent me a confirmation email. He was dealing with a family situation at that time but he made sure that Grazia or someone else was there on the branch to help me whenever he was not available. Grazia was also very helpful and responded to my queries very timely and reached out to me promptly for each step. This guy deserves an employee of the year for providing best customer service to the customers."
1,"Worse service ever! They don’t want to help, nor explain... but they sure want to push you stuff! Stay away!"
1,"Pathetic customer service. Was made to wait 30 mins past my scheduled appointment time. When asked him much more time will it take, receptionist informs she has no idea. People who don’t value their customers time don’t deserve any business at all."
5,Friendly staff. Very helpful. I like the renovation. I prefer to go to bay bloor TD for my every day banking.
5,"Had a overall good experience at this branch. Went in to open a new account, called in advance to book an appointment. Although they made, wait as it was quite busy. Mr Abid who assisted me was polite, extremely helpful and very professional."
1,"HIGHLY RECOMMEND NOT TO USE THIS BRANCH!!! 20 years TD customer, this has been the worst branch I had to deal with in three different provinces. Had two interactions with them in the past month one rep created the wrong account that froze my funds in the air for 2 weeks. second needed an action to be taken on a different account, a different rep did not return my calls for a week in spite of leaving messages and once she did was on a weekend with absolutely no clear answer she still had no clue whatsoever."
1,
1,
1,
1,It was a day after Mothers day. My mom is a new immigrant. She called TD about one of their products but they were rude and hang up on her while she was talking slowly. I am so frustrated to hear this and TD that I have been using can they become so discourging and unfriendly to customers.
