Label,Message
5,"Professionalism and high efficiency is what I look for when banking, thus Eric will definitely be my go-to guy at this TD branch. Very pleasant young man, pleased with his service and knowledge"
5,This is a great location. The team are super friendly! Branch Manager and Management Team go above and beyond to make us feel welcome and part of the family. They do listen and value our input. Highly Recommend!
1,"Very disappointed experience in this branch, Manager there is extremely lazy and inpatient, this branch can’t even verify a money order, how terrible it is, most terrible banking experience in my life. Please close this branch and let the staff go for training."
1,I can't remember her exact name but Shald or Shala was so rude and seemed new. She needs to be trained more for the customer service
1,Very slow service... slower than turtle...
4,
1,This is the only branch that doesn’t ’t fax drafts to verify. So disappointing.
5,
1,
3,
1,"I would have give them negative stars if I can. My experience here happen in the morning around 830AM... Slowest service of my life. I was the next person in line, trying to get change waited in line for 10 minutes there were only 2 tellers. After 1 of them was done she was just taking her time... Seems like she refused to serve me for some reasons. And the other line was apparently business service but I was supposed to be in line first there was also another lady behind me and the person that came 3rd...guess what?? They got service before me??! What's the point of lining up when they get the priority before I was the next in line. Save yourself troubles. Go to another TD bank where they actually will get you better services. What's the point of building a newer TD bank when your customers service is getting worst?"
5,
1,"TD should have closed this branch so useless! Aeroplan® Visa Platinum is my first product with TD and Im having troubled registering for easy web. TD call center told me to visit TD branch to get a code then I went to visit this branch at Yonge&Sheppard March 29. Service was bad. I was told to wait and many employees were just chatting themselves. No line up and only 1 person helping 1 customer. After a while, I decided to walk away. They certainly don't value my business. Looks like closing my card is in order."
1,"The worst TD Branch ever. This morning, I was poorly treated by the teller who made mistake on depositing my cheque to the wrong account. He would rather blame me than admit it and say a sorry."
5,"I met with Stefan, the Assistant Branch Manager at this location and let me tell you he went above and beyond to help me. I had an issue where the payment account for which my automatic purchase into my Mutual Funds was set up in error from another branch. I walked in the branch he greeted me as soon as i walked into the branch and offered to meet with me right away.He addressed all my needs and ensured the corrections were made and the proper accounts were set up. In addition he took the time to provide me advice about my banking and made sure i was in the right plans as well as my investments.The Team at this branch are extremely friendly and are always a happy bunch willing to help!"
1,
5,Fastest atm!
2,Wait times are way to long at this branch. There is no sense of urgency from any of the tellers to make sure the line moves smoothly. They constantly are chatting and taking their time. Have waited upwards of 30 min to see a teller with only 3 people in front of me in line.
1,"The worst bank ever..The front desk employee today was so lazy, unfriendly and rude!She asked me for ID in able to get my CC I took out in my bag and then she walked out and waited for her like forever! Don’t go here! Horrible bank!"
1,"I went there several times. Once I found that the person supposed to meet me actually went home. They did not ask another person to help me. Instead, they asked me to go home and reschedule the appointment. This branch is definitely the worst among all the TD branches after comparison."
2,"Slow, confused and disorganized employees.
Business services window's location poorly  planned."
3,
1,Slowest TD bank in the world. Been waiting 30 mins and only had 2 ppl in front of me never again will I use this bank
4,Its good td customers support is always excellent
5,like this location a lot. helpful like Lin
1,
